M1:gmoverid (L=1.00e-07) X,M1:gmoverid (L=1.00e-07) Y,M1:gmoverid (L=2.00e-07) X,M1:gmoverid (L=2.00e-07) Y,M1:gmoverid (L=3.00e-07) X,M1:gmoverid (L=3.00e-07) Y,M1:gmoverid (L=4.00e-07) X,M1:gmoverid (L=4.00e-07) Y,M1:gmoverid (L=5.00e-07) X,M1:gmoverid (L=5.00e-07) Y,M1:gmoverid (L=6.00e-07) X,M1:gmoverid (L=6.00e-07) Y,M1:gmoverid (L=7.00e-07) X,M1:gmoverid (L=7.00e-07) Y,M1:gmoverid (L=8.00e-07) X,M1:gmoverid (L=8.00e-07) Y,M1:gmoverid (L=9.00e-07) X,M1:gmoverid (L=9.00e-07) Y,M1:gmoverid (L=1.00e-06) X,M1:gmoverid (L=1.00e-06) Y
0.4630000000000001,19.2798227737016,0.4630000000000001,18.30333782162473,0.4630000000000001,17.89255171512018,0.4630000000000001,17.6611580071516,0.4630000000000001,17.44206515155911,0.4630000000000001,17.24844768170503,0.4630000000000001,17.07999195842975,0.4630000000000001,16.9335103153366,0.4630000000000001,16.80556369944467,0.4630000000000001,16.69311776577785
0.4640000000000001,19.2098911537441,0.4640000000000001,18.23906749099294,0.4640000000000001,17.83028952684371,0.4640000000000001,17.59913601599449,0.4640000000000001,17.3803513801456,0.4640000000000001,17.18704633774319,0.4640000000000001,17.0188879693766,0.4640000000000001,16.87268260521034,0.4640000000000001,16.74499012023845,0.4640000000000001,16.63277705521364
0.4650000000000001,19.14004505062929,0.4650000000000001,18.17500845182059,0.4650000000000001,17.76824146846278,0.4650000000000001,17.53732291253339,0.4650000000000001,17.31884576257152,0.4650000000000001,17.12585374423501,0.4650000000000001,16.95799365324774,0.4650000000000001,16.8120654864799,0.4650000000000001,16.68462794584414,0.4650000000000001,16.5726484374639
0.4660000000000001,19.07028910568006,0.4660000000000001,18.11116209463779,0.4660000000000001,17.70640809250185,0.4660000000000001,17.47571924556527,0.4660000000000001,17.25754876905187,0.4660000000000001,17.06487027498543,0.4660000000000001,16.89730928932897,0.4660000000000001,16.75165915224039,0.4660000000000001,16.62447729294921,0.4660000000000001,16.51273196220532
0.4670000000000001,19.00062790531108,0.4670000000000001,18.04752970747256,0.4670000000000001,17.64478986131606,0.4670000000000001,17.41432548014067,0.4670000000000001,17.19646079123466,0.4670000000000001,17.00409622989543,0.4670000000000001,16.83683508725525,0.4670000000000001,16.69146372979217,0.4670000000000001,16.56453821592269,0.4670000000000001,16.45302761992056
0.4680000000000001,18.93106597867951,0.4680000000000001,17.98411247658873,0.4680000000000001,17.5833871486655,0.4680000000000001,17.35314199927357,0.4680000000000001,17.13558214406404,0.4680000000000001,16.94353183694487,0.4680000000000001,16.77657118907476,0.4680000000000001,16.63147928275645,0.4680000000000001,16.50481070896046,0.4680000000000001,16.39353534405824
0.4690000000000001,18.8616077953689,0.4690000000000001,17.92091148732879,0.4690000000000001,17.52220024137105,0.4690000000000001,17.29216910571981,0.4690000000000001,17.07491306769898,0.4690000000000001,16.88317725421643,0.4690000000000001,16.71651767134256,0.4690000000000001,16.57170581321096,0.4690000000000001,16.44529470824265,0.4690000000000001,16.33425501319729
0.4700000000000001,18.79225776311188,0.4700000000000001,17.85792772505884,0.4700000000000001,17.46122934104686,0.4700000000000001,17.23140702382173,0.4700000000000001,17.0144537294829,0.4700000000000001,16.82303257195798,0.4700000000000001,16.65667454724159,0.4700000000000001,16.51214326384244,0.4700000000000001,16.38599009409907,0.4700000000000001,16.27518645321344
0.4710000000000001,18.72302022555756,0.4710000000000001,17.79516207621432,0.4710000000000001,17.4004745659065,0.4710000000000001,17.17085590141259,0.4710000000000001,16.9542042259594,0.4710000000000001,16.76309781467716,0.4710000000000001,16.59704176872394,0.4710000000000001,16.45279152011087,0.4710000000000001,16.32689669317906,0.4710000000000001,16.21632943944256
0.4720000000000001,18.65389946008851,0.4720000000000001,17.73261532944346,0.4720000000000001,17.33993595263748,0.4720000000000001,17.1105158117768,0.4720000000000001,16.89416458492903,0.4720000000000001,16.70337294326477,0.4720000000000001,16.53761922867027,0.4720000000000001,16.39365041242167,0.4720000000000001,16.26801428062125,0.4720000000000001,16.15768369883821
